date,state,house_median_value
1/1/2012,Mississippi,99800
1/1/2012,Missouri,135000
1/1/2012,Montana,184800
1/1/2012,Nebraska,128300
1/1/2012,Nevada,150700
1/1/2012,New Hampshire,236000
1/1/2012,New Jersey,311600
1/1/2012,New Mexico,157500
1/1/2012,New York,280900
1/1/2012,North Carolina,150100
1/1/2012,North Dakota,142500
1/1/2012,Ohio,127600
1/1/2012,Oklahoma,114300
1/1/2012,Oregon,223900
1/1/2012,Pennsylvania,163800
1/1/2012,Rhode Island,234600
1/1/2012,South Carolina,135500
1/1/2012,South Dakota,134300
1/1/2012,Tennessee,137800
1/1/2012,Texas,129200
1/1/2012,Utah,199700
1/1/2012,Vermont,216900
1/1/2012,Virginia,237800
1/1/2012,Washington,243000
1/1/2012,West Virginia,100400
1/1/2012,Wisconsin,165200
1/1/2012,Wyoming,187400
1/1/2012,Puerto Rico,127300
1/1/2012,Alabama,123200
1/1/2012,Alaska,245100
1/1/2012,Arizona,151500
1/1/2012,Arkansas,107600
1/1/2012,United States,171900
1/1/2013,Alabama,122700
1/1/2013,Alaska,254000
1/1/2013,Arizona,166000
1/1/2013,Arkansas,109500
1/1/2013,California,373100
1/1/2013,Colorado,240500
1/1/2013,Connecticut,267000
1/1/2013,Delaware,226200
1/1/2013,District of Columbia,470500
1/1/2013,Florida,153300
1/1/2013,Georgia,141600
1/1/2013,Hawaii,500000
1/1/2013,Idaho,159000
1/1/2013,Illinois,169600
1/1/2013,Indiana,122200
1/1/2013,Iowa,126900
1/1/2013,Kansas,129700
1/1/2013,Kentucky,120900
1/1/2013,Louisiana,140300
1/1/2013,Maine,172800
1/1/2013,Maryland,280200
1/1/2013,Massachusetts,327200
1/1/2013,Michigan,117500
1/1/2013,Minnesota,180100
1/1/2013,Mississippi,97500
1/1/2013,Missouri,133200
1/1/2013,Montana,190100
1/1/2013,Nebraska,132700
1/1/2013,Nevada,165300
1/1/2013,New Hampshire,233300
1/1/2013,New Jersey,307700
1/1/2013,New Mexico,159200
1/1/2013,New York,277600
1/1/2013,North Carolina,154300
1/1/2013,North Dakota,155400
1/1/2013,Ohio,127000
